,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT,AAPL,AMD,GOOG,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-09,15.777153015136719,3.690000057220459,22.118345260620117,44.040000915527344,26.51254653930664,18.077499389648438,3.690000057220459,22.118345260620117,44.040000915527344,31.65999984741211,18.139999389648438,3.7200000286102295,22.160686492919922,44.790000915527344,31.790000915527344,17.981428146362305,3.619999885559082,21.978120803833008,43.70000076293945,31.200000762939453,18.03571319580078,3.630000114440918,22.0107479095459,44.36000061035156,31.219999313354492,340687200,23646200,49569103,75794700,49628500
2013-09-10,15.417768478393555,3.869999885559082,22.133787155151367,43.599998474121094,27.123865127563477,17.665714263916016,3.869999885559082,22.133787155151367,43.599998474121094,32.38999938964844,18.123214721679688,3.869999885559082,22.216726303100586,44.2599983215332,32.400001525878906,17.48214340209961,3.7699999809265137,22.017473220825195,43.22999954223633,31.790000915527344,18.078571319580078,3.7799999713897705,22.16741180419922,44.2400016784668,31.899999618530273,743195600,33201100,51697050,54540300,56881200
2013-09-11,14.578374862670898,3.819999933242798,22.32108497619629,45.040000915527344,27.416955947875977,16.703929901123047,3.819999933242798,22.32108497619629,45.040000915527344,32.7400016784668,16.917499542236328,3.890000104904175,22.340511322021484,45.09000015258789,32.93000030517578,16.600357055664062,3.740000009536743,22.069278717041016,43.11000061035156,32.529998779296875,16.67892837524414,3.869999885559082,22.13054847717285,43.38999938964844,32.56999969482422,898696400,24009100,64665477,72328300,39087500
2013-09-12,14.733595848083496,3.75,22.243127822875977,44.75,27.37508201599121,16.881786346435547,3.75,22.243127822875977,44.75,32.689998626708984,16.97857093811035,3.799999952316284,22.36367416381836,45.619998931884766,32.779998779296875,16.643213272094727,3.690000057220459,22.16716194152832,44.650001525878906,32.59000015258789,16.73214340209961,3.759999990463257,22.351221084594727,45.529998779296875,32.720001220703125,404051200,28947700,43984248,68072300,32860200
2013-09-13,14.490784645080566,3.8299999237060547,22.143749237060547,44.310001373291016,27.659799575805664,16.60357093811035,3.8299999237060547,22.143749237060547,44.310001373291016,33.029998779296875,16.851070404052734,3.869999885559082,22.30838394165039,45.08000183105469,33.06999969482422,16.5964298248291,3.7200000286102295,22.038394927978516,43.93000030517578,32.5099983215332,16.762142181396484,3.75,22.278993606567383,45.040000915527344,32.77000045776367,298835600,25331400,53214717,52765300,40899000
2013-09-16,14.030097961425781,3.819999933242798,22.111122131347656,42.5099983215332,27.467201232910156,16.075714111328125,3.819999933242798,22.111122131347656,42.5099983215332,32.79999923706055,16.48607063293457,3.9000000953674316,22.341259002685547,44.939998626708984,33.5,15.972143173217773,3.7899999618530273,22.039142608642578,42.43000030517578,32.72999954223633,16.46428680419922,3.9000000953674316,22.321334838867188,44.849998474121094,33.380001068115234,543706800,30569700,53660381,70424200,52839700
2013-09-17,14.192181587219238,3.8499999046325684,22.070026397705078,45.06999969482422,27.57605743408203,16.261428833007812,3.8499999046325684,22.070026397705078,45.06999969482422,32.93000030517578,16.418214797973633,3.9000000953674316,22.126813888549805,45.439998626708984,33.470001220703125,15.98214340209961,3.7699999809265137,21.942752838134766,42.43000030517578,32.900001525878906,15.998571395874023,3.8299999237060547,22.102405548095703,42.5,33.41999816894531,399380800,25590700,50564822,91934600,84716500
2013-09-18,14.483926773071289,3.930000066757202,22.498668670654297,45.22999954223633,27.902660369873047,16.595714569091797,3.930000066757202,22.498668670654297,45.22999954223633,33.31999969482422,16.655357360839844,3.950000047683716,22.51485824584961,45.470001220703125,33.400001525878906,16.4521427154541,3.8299999237060547,21.99431037902832,44.400001525878906,32.83000183105469,16.542142868041992,3.8499999046325684,22.076004028320312,44.84000015258789,32.9900016784668,456862000,24046300,77678069,79317000,64099900
2013-09-19,14.72143840789795,3.950000047683716,22.375879287719727,45.97999954223633,28.170631408691406,16.867856979370117,3.950000047683716,22.375879287719727,45.97999954223633,33.63999938964844,16.993928909301758,4.0,22.565170288085938,46.04999923706055,33.68000030517578,16.758928298950195,3.9200000762939453,22.301408767700195,45.22999954223633,33.31999969482422,16.810714721679688,3.9600000381469727,22.565170288085938,45.5099983215332,33.47999954223633,404541200,24274700,64155573,63972400,42026600
2013-09-20,14.569015502929688,3.8299999237060547,22.493438720703125,47.4900016784668,27.45882797241211,16.693214416503906,3.8299999237060547,22.493438720703125,47.4900016784668,32.790000915527344,17.0910701751709,3.9600000381469727,22.518844604492188,47.599998474121094,33.47999954223633,16.64285659790039,3.7899999618530273,22.306888580322266,45.7400016784668,32.689998626708984,17.071428298950195,3.9100000858306885,22.375879287719727,46.31999969482422,33.40999984741211,699302800,94572300,174463490,115508400,102904900
2013-09-23,15.293086051940918,3.7899999618530273,22.079740524291992,47.189998626708984,27.416955947875977,17.522857666015625,3.7899999618530273,22.079740524291992,47.189998626708984,32.7400016784668,17.74678611755371,3.869999885559082,22.455581665039062,47.54999923706055,32.970001220703125,17.235713958740234,3.7699999809265137,22.047361373901367,46.290000915527344,32.5,17.717857360839844,3.809999942779541,22.32008934020996,47.279998779296875,32.540000915527344,762106800,20920500,71362485,75177000,39826100
2013-09-24,15.245091438293457,3.799999952316284,22.088207244873047,48.45000076293945,27.174104690551758,17.467857360839844,3.799999952316284,22.088207244873047,48.45000076293945,32.45000076293945,17.695356369018555,3.890000104904175,22.169403076171875,49.65999984741211,32.869998931884766,17.422143936157227,3.75,21.952716827392578,48.15999984741211,32.150001525878906,17.674285888671875,3.7899999618530273,22.079740524291992,48.5099983215332,32.869998931884766,364344400,21462700,59694916,136716100,40685000
2013-09-25,15.009132385253906,3.9100000858306885,21.848854064941406,49.459999084472656,27.22435188293457,17.197500228881836,3.9100000858306885,21.848854064941406,49.459999084472656,32.5099983215332,17.48714256286621,3.940000057220459,22.080984115600586,49.540000915527344,32.79999923706055,17.19392967224121,3.7899999618530273,21.808256149291992,48.459999084472656,32.400001525878906,17.4714298248291,3.819999933242798,22.080984115600586,49.22999954223633,32.4900016784668,316957200,23559200,66207234,87879700,28907500
2013-09-26,15.15532112121582,3.890000104904175,21.87226676940918,50.38999938964844,27.44207763671875,17.364999771118164,3.890000104904175,21.87226676940918,50.38999938964844,32.77000045776367,17.448570251464844,3.9800000190734863,21.986339569091797,50.599998474121094,33.0,17.282142639160156,3.880000114440918,21.793312072753906,49.5,32.59000015258789,17.35714340209961,3.940000057220459,21.875505447387695,50.0099983215332,32.63999938964844,237221600,17460300,50584897,98220100,28504000
2013-09-27,15.047162055969238,3.859999895095825,21.82793426513672,51.2400016784668,27.86078643798828,17.241071701049805,3.859999895095825,21.82793426513672,51.2400016784668,33.27000045776367,17.309642791748047,3.9100000858306885,21.856077194213867,51.279998779296875,33.75,17.16857147216797,3.8299999237060547,21.70140838623047,49.86000061035156,32.869998931884766,17.277856826782227,3.869999885559082,21.788829803466797,50.290000915527344,32.880001068115234,228040400,11436100,50540732,81410500,55348000
2013-09-30,14.860143661499023,3.809999942779541,21.815977096557617,50.22999954223633,27.869165420532227,17.02678680419922,3.809999942779541,21.815977096557617,50.22999954223633,33.279998779296875,17.2021427154541,3.859999895095825,21.93876838684082,51.599998474121094,33.310001373291016,16.943214416503906,3.75,21.62668800354004,49.79999923706055,32.70000076293945,17.04464340209961,3.7899999618530273,21.64586639404297,50.13999938964844,33.0,260156400,16556900,69154239,100095000,39839500
2013-10-01,15.209555625915527,3.859999895095825,22.092193603515625,50.41999816894531,28.120380401611328,17.427143096923828,3.859999895095825,22.092193603515625,50.41999816894531,33.58000183105469,17.46928596496582,3.940000057220459,22.10887908935547,51.029998779296875,33.61000061035156,17.084999084472656,3.809999942779541,21.919092178344727,49.45000076293945,33.29999923706055,17.087499618530273,3.819999933242798,21.924072265625,49.970001220703125,33.349998474121094,353883600,26056400,67644602,98114000,36718700
2013-10-02,15.25942325592041,3.9000000953674316,22.116851806640625,50.279998779296875,28.40510368347168,17.484285354614258,3.9000000953674316,22.116851806640625,50.279998779296875,33.91999816894531,17.564285278320312,3.940000057220459,22.150972366333008,51.099998474121094,34.029998779296875,17.27678680419922,3.819999933242798,21.863550186157227,49.95000076293945,33.290000915527344,17.343929290771484,3.8299999237060547,21.985841751098633,50.130001068115234,33.36000061035156,289184000,18583300,60036190,62834000,46946800
2013-10-03,15.067737579345703,3.9000000953674316,21.82046127319336,49.18000030517578,28.354862213134766,17.2646427154541,3.9000000953674316,21.82046127319336,49.18000030517578,33.86000061035156,17.58392906188965,3.940000057220459,22.26902961730957,50.720001220703125,34.0,17.169286727905273,3.859999895095825,21.721084594726562,49.060001373291016,33.41999816894531,17.518213272094727,3.930000066757202,22.11709976196289,50.470001220703125,33.880001068115234,322753200,25498500,84997401,82045000,38703800
2013-10-04,15.055887222290039,3.9100000858306885,21.727310180664062,51.040000915527344,28.37160873413086,17.25107192993164,3.9100000858306885,21.727310180664062,51.040000915527344,33.880001068115234,17.30714225769043,3.950000047683716,21.8558292388916,51.15999984741211,33.9900016784668,17.092857360839844,3.890000104904175,21.668779373168945,49.56999969482422,33.619998931884766,17.28071403503418,3.9100000858306885,21.793312072753906,49.77000045776367,33.689998626708984,258868400,17134400,54523605,74447000,33008100
2013-10-07,15.203008651733398,3.859999895095825,21.56267738342285,50.52000045776367,27.885908126831055,17.41964340209961,3.859999895095825,21.56267738342285,50.52000045776367,33.29999923706055,17.594642639160156,3.9100000858306885,21.768157958984375,51.290000915527344,33.709999084472656,17.33392906188965,3.8299999237060547,21.522079467773438,50.400001525878906,33.20000076293945,17.37714385986328,3.869999885559082,21.605268478393555,50.72999954223633,33.599998474121094,312292400,16734000,51937949,57204000,35069300
2013-10-08,14.990745544433594,3.7200000286102295,21.262054443359375,47.13999938964844,27.643062591552734,17.176429748535156,3.7200000286102295,21.262054443359375,47.13999938964844,33.0099983215332,17.522857666015625,3.890000104904175,21.568655014038086,50.599998474121094,33.33000183105469,17.16214370727539,3.680000066757202,21.211244583129883,47.08000183105469,32.79999923706055,17.49785614013672,3.869999885559082,21.552217483520508,50.599998474121094,33.310001373291016,290917200,35910400,78039419,136081000,41017600
2013-10-09,15.166853904724121,3.6500000953674316,21.316600799560547,46.77000045776367,27.693300247192383,17.37821388244629,3.6500000953674316,21.316600799560547,46.77000045776367,33.06999969482422,17.421070098876953,3.75,21.485715866088867,47.84000015258789,33.349998474121094,17.08142852783203,3.549999952316284,20.995803833007812,45.2599983215332,32.959999084472656,17.308570861816406,3.75,21.32706069946289,47.380001068115234,33.06999969482422,301725200,36053700,106449509,147297000,35878600
2013-10-10,15.261918067932129,3.7899999618530273,21.62494468688965,49.04999923706055,28.2711238861084,17.48714256286621,3.7899999618530273,21.62494468688965,49.04999923706055,33.7599983215332,17.584999084472656,3.799999952316284,21.639638900756836,49.68000030517578,33.88999938964844,17.394285202026367,3.7200000286102295,21.424943923950195,47.83000183105469,33.2599983215332,17.547143936157227,3.7200000286102295,21.51535415649414,47.869998931884766,33.310001373291016,278602800,24019400,90550137,99774000,42875100
2013-10-11,15.360733032226562,3.8299999237060547,21.71834373474121,49.11000061035156,28.58095932006836,17.600357055664062,3.8299999237060547,21.71834373474121,49.11000061035156,34.130001068115234,17.637142181396484,3.8499999046325684,21.755455017089844,49.869998931884766,34.13999938964844,17.3271427154541,3.75,21.551719665527344,48.790000915527344,33.68000030517578,17.392499923706055,3.7799999713897705,21.569900512695312,49.18000030517578,33.68000030517578,267738800,17384600,56567236,58428000,30033300
2013-10-14,15.461404800415039,3.9700000286102295,21.820959091186523,49.5099983215332,28.848934173583984,17.715713500976562,3.9700000286102295,21.820959091186523,49.5099983215332,34.45000076293945,17.770713806152344,4.050000190734863,21.824447631835938,49.630001068115234,34.5,17.47678565979004,3.8499999046325684,21.5539608001709,47.90999984741211,33.779998779296875,17.493928909301758,3.869999885559082,21.58559226989746,48.310001373291016,33.900001525878906,261898000,63648400,49930453,68781000,27757900
2013-10-15,15.543696403503418,4.019999980926514,21.96790885925293,49.5,28.88243865966797,17.809999465942383,4.019999980926514,21.96790885925293,49.5,34.4900016784668,17.928571701049805,4.099999904632568,22.05807113647461,51.0,34.9900016784668,17.6971435546875,4.010000228881836,21.768407821655273,49.18000030517578,34.470001220703125,17.768213272094727,4.03000020980835,21.81224250793457,49.9900016784668,34.66999816894531,320073600,52027500,63914673,81167000,47097800
2013-10-16,15.619430541992188,4.090000152587891,22.366912841796875,51.13999938964844,29.00804328918457,17.896785736083984,4.090000152587891,22.366912841796875,51.13999938964844,34.63999938964844,17.947500228881836,4.099999904632568,22.374385833740234,51.2400016784668,34.900001525878906,17.82964324951172,4.03000020980835,22.01772117614746,49.900001525878906,34.560001373291016,17.885356903076172,4.099999904632568,22.064048767089844,50.040000915527344,34.599998474121094,251101200,34138300,80604999,64678000,35111600
2013-10-17,15.725104331970215,4.090000152587891,22.136775970458984,52.209999084472656,29.24251937866211,18.01785659790039,4.090000152587891,22.136775970458984,52.209999084472656,34.91999816894531,18.027856826782227,4.130000114440918,22.338769912719727,52.220001220703125,34.9900016784668,17.845714569091797,4.059999942779541,22.060562133789062,50.95000076293945,34.369998931884766,17.856428146362305,4.119999885559082,22.241384506225586,51.119998931884766,34.45000076293945,253593200,45838000,170902191,71522000,31359200
2013-10-18,15.86193561553955,3.5299999713897705,25.190828323364258,54.220001220703125,29.276018142700195,18.17464256286621,3.5299999713897705,25.190828323364258,54.220001220703125,34.959999084472656,18.187856674194336,3.6600000858306885,25.29170036315918,54.83000183105469,34.9900016784668,18.061071395874023,3.509999990463257,24.259071350097656,53.599998474121094,34.33000183105469,18.07107162475586,3.559999942779541,24.32332992553711,54.18000030517578,34.81999969482422,290542000,108913700,464390148,88260000,41811700
